Date (ex: 2022-08-25),Plan Number (ex: UP20221101001470),Finish Good GMC (ex: VFQ2410),Model (ex: B121SC3),Color (ex: PE),Destination (ex: LZ)
11/1/2022,UP20221114001492,VFQ2690,B2ESC3,PE,EP
11/1/2022,UP20221114001503,VFQ2780,B1SC3,PE,LP
11/1/2022,UP20221114001505,VFQ2840,B2SC3,PW,LP
11/2/2022,UP20221115001547,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001548,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001549,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001550,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001551,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001552,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001553,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001554,ZF71250,B2,PE,LZ
11/2/2022,UP20221115001571,ZW44770,B1,PWH,LZ
11/1/2022,UP20221115001476,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001477,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001478,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001479,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001480,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001481,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001482,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001483,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001492,VFQ2660,B1SC3,PWH,EP
11/1/2022,UP20221115001484,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001485,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001486,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001487,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001488,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001489,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001490,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001491,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221115001493,VFQ2680,B1SC3,PEC,EP
11/1/2022,UP20221115001507,VFQ2780,B1SC3,PE,LP
11/2/2022,UP20221116001461,AAE6338,B1,PM,EZ
11/3/2022,UP20221007000152,VCM7890,P22D,SE,LZ
11/3/2022,UP20221007000229,VCM7900,P22D,SW,LZ
11/3/2022,UP20221007000217,VCM7890,P22D,SE,LZ
11/3/2022,UP20221007000255,VCM7900,P22D,SW,LZ
11/3/2022,UP20221010000164,VCM7890,P22D,SE,LZ
11/3/2022,UP20221010000177,VCM7900,P22D,SW,LZ
11/3/2022,UP20221010000229,VCM7910,P22D,DO,LZ
11/3/2022,UP20221010000243,VCM7900,P22D,SW,LZ
11/3/2022,UP20221010000216,VCM7890,P22D,SE,LZ
11/3/2022,UP20221010000255,VCM7900,P22D,SW,LZ
11/3/2022,UP20221011000151,VCM7890,P22D,SE,LZ
11/2/2022,UP20221109001480,VFQ2590,U1JSC3,PE,AP2
11/3/2022,UP20221109001472,VAN1280,B121,PE,AZ
11/3/2022,UP20221109001473,VAN1280,B121,PE,AZ
11/3/2022,UP20221109001474,VAN1280,B121,PE,AZ
11/2/2022,UP20221109001477,VFQ2380,B113SC3,PE,JP
11/2/2022,UP20221110001533,WH50370,JU109,PM,AZ
11/2/2022,UP20221110001535,WH50410,JX113T,PE,AZ
11/2/2022,UP20221110001536,WH50430,JX113C,PM,AZ
11/3/2022,UP20221110001463,VAN1280,B121,PE,AZ
11/3/2022,UP20221110001464,VAN1280,B121,PE,AZ
11/2/2022,UP20221110001476,VFQ2570,JX113SC3,PE,AP2
11/3/2022,UP20221111001511,WH50350,JU109,PE,AZ
11/3/2022,UP20221111001512,WH50350,JU109,PE,AZ
11/3/2022,UP20221111001513,WH50350,JU109,PE,AZ
11/3/2022,UP20221111001531,WH50370,JU109,PM,AZ
11/3/2022,UP20221111001532,WH50410,JX113T,PE,AZ
11/3/2022,UP20221114001456,AAC7368,U1J,PE,LZ
11/3/2022,UP20221114001541,ZF42500,B3,PE,LZ
11/3/2022,UP20221114001542,ZF42500,B3,PE,LZ
11/3/2022,UP20221114001543,ZF42500,B3,PE,LZ
11/3/2022,UP20221114001544,ZF42500,B3,PE,LZ
11/3/2022,UP20221114001545,ZF42500,B3,PE,LZ
11/3/2022,UP20221114001546,ZF42500,B3,PE,LZ
11/3/2022,UP20221114001547,ZF42500,B3,PE,LZ
11/3/2022,UP20221114001562,ZH66250,B3E,PE,EZ
11/3/2022,UP20221114001563,ZH66250,B3E,PE,EZ
11/3/2022,UP20221114001564,ZH66250,B3E,PE,EZ
11/3/2022,UP20221114001566,ZJ73750,B3,PM,LZ
11/3/2022,UP20221114001567,ZJ73760,B3,PW,LZ
11/3/2022,UP20221114001568,ZN12160,B3E,PEC,EZ
11/3/2022,UP20221114001569,ZQ21310,B3,PEC,LZ
11/3/2022,UP20221114001573,ZW44790,B3,PWH,LZ
11/3/2022,UP20221114001574,ZW44790,B3,PWH,LZ
11/2/2022,UP20221114001500,VFQ2750,B3ESC3,PWH,EP
11/2/2022,UP20221114001502,VFQ2770,B3ESC3,PEC,EP
11/2/2022,UP20221114001506,VFQ2860,B3SC3,PE,LP
11/2/2022,UP20221114001498,VFQ2740,B3ESC3,PE,EP
11/2/2022,UP20221114001499,VFQ2740,B3ESC3,PE,EP
11/2/2022,UP20221114001501,VFQ2750,B3ESC3,PWH,EP
11/3/2022,UP20221115001455,AAC7368,U1J,PE,LZ
11/3/2022,UP20221115001457,AAC7370,U1J,PM,LZ
11/3/2022,UP20221115001532,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001533,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001534,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001535,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001536,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001537,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001538,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001539,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001540,ZF42500,B3,PE,LZ
11/3/2022,UP20221115001559,ZH66250,B3E,PE,EZ
11/3/2022,UP20221115001560,ZH66250,B3E,PE,EZ
11/3/2022,UP20221115001561,ZH66250,B3E,PE,EZ
11/3/2022,UP20221115001572,ZW44790,B3,PWH,LZ
11/3/2022,UP20221115001573,ZW44790,B3,PWH,LZ
11/3/2022,UP20221115001555,ZF71250,B2,PE,LZ
11/3/2022,UP20221115001556,ZF71250,B2,PE,LZ
11/3/2022,UP20221115001557,ZF71250,B2,PE,LZ
11/3/2022,UP20221115001558,ZF71250,B2,PE,LZ
11/3/2022,UP20221115001566,ZJ73730,B2,PW,LZ
11/2/2022,UP20221115001494,VFQ2690,B2ESC3,PE,EP
11/2/2022,UP20221115001495,VFQ2690,B2ESC3,PE,EP
11/2/2022,UP20221115001496,VFQ2690,B2ESC3,PE,EP
11/2/2022,UP20221115001499,VFQ2740,B3ESC3,PE,EP
11/2/2022,UP20221115001500,VFQ2740,B3ESC3,PE,EP
11/2/2022,UP20221115001501,VFQ2740,B3ESC3,PE,EP
11/2/2022,UP20221115001502,VFQ2740,B3ESC3,PE,EP
11/2/2022,UP20221115001503,VFQ2740,B3ESC3,PE,EP
11/2/2022,UP20221115001505,VFQ2750,B3ESC3,PWH,EP
11/2/2022,UP20221115001508,VFQ2860,B3SC3,PE,LP
11/2/2022,UP20221115001497,VFQ2690,B2ESC3,PE,EP
11/2/2022,UP20221115001498,VFQ2700,B2ESC3,PWH,EP
11/2/2022,UP20221116001531,WH50380,JU109,PM,LZ
11/2/2022,UP20221116001570,ZW44770,B1,PWH,LZ
11/1/2022,UP20221116001479,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221116001480,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221116001481,VFQ2640,B1SC3,PE,EP
11/1/2022,UP20221116001482,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221116001549,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001550,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001551,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001552,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001553,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001554,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001571,ZW44770,B1,PWH,LZ
11/2/2022,UP20221116001483,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001484,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001485,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001486,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001487,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001488,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001489,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001490,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001491,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001492,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221116001493,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221117001527,WH50360,JU109,PE,LZ
11/3/2022,UP20221117001528,WH50360,JU109,PE,LZ
11/3/2022,UP20221117001529,WH50360,JU109,PE,LZ
11/4/2022,UP20221011000165,VCM7900,P22D,SW,LZ
11/4/2022,UP20221011000190,VCM7900,P22D,SW,LZ
11/4/2022,UP20221011000203,VCM7890,P22D,SE,LZ
11/4/2022,UP20221011000217,VCM7900,P22D,SW,LZ
11/4/2022,UP20221011000242,VCM7900,P22D,SW,LZ
11/4/2022,UP20221012000139,VCM7890,P22D,SE,LZ
11/4/2022,UP20221012000204,VCM7910,P22D,DO,LZ
11/4/2022,UP20221012000243,VCM7900,P22D,SW,LZ
11/4/2022,UP20221012000216,VCM7890,P22D,SE,LZ
11/4/2022,UP20221012000256,VCM7900,P22D,SW,LZ
11/4/2022,UP20221013000150,VCM7890,P22D,SE,LZ
11/7/2022,UP20221013000164,VCM7900,P22D,SW,LZ
11/7/2022,UP20221013000190,VCM7900,P22D,SW,LZ
11/7/2022,UP20221013000202,VCM7890,P22D,SE,LZ
11/7/2022,UP20221013000216,VCM7900,P22D,SW,LZ
11/7/2022,UP20221013000229,VCM7900,P22D,SW,LZ
11/7/2022,UP20221014000139,VCM7910,P22D,DO,LZ
11/7/2022,UP20221014000153,VCM7890,P22D,SE,LZ
11/7/2022,UP20221014000216,VCM7900,P22D,SW,LZ
11/7/2022,UP20221014000204,VCM7890,P22D,SE,LZ
11/7/2022,UP20221017000177,WN67610,M3,SBW,LZ
11/7/2022,UP20221017000229,VCM7890,P22D,SE,LZ
11/7/2022,UP20221021000244,VAR8160,P121GC,PE,AZ
11/7/2022,UP20221024000170,VAR8160,P121GC,PE,AZ
11/7/2022,UP20221024000225,VAR8160,P121GC,PE,AZ
11/7/2022,UP20221025000136,VAR8160,P121GC,PE,AZ
11/7/2022,UP20221025000194,VAR8160,P121GC,PE,AZ
11/7/2022,UP20221028000164,VAR8170,P121GC,PE,LZ
11/7/2022,UP20221028000225,VAR8170,P121GC,PE,LZ
11/7/2022,UP20221101001467,VAR8170,P121GC,PE,LZ
11/4/2022,UP20221110001465,VAN1280,B121,PE,AZ
11/4/2022,UP20221110001466,VAN1280,B121,PE,AZ
11/4/2022,UP20221110001467,VAN1280,B121,PE,AZ
11/4/2022,UP20221110001468,VAN1280,B121,PE,AZ
11/4/2022,UP20221110001469,VAN1280,B121,PE,AZ
11/3/2022,UP20221110001477,VFQ2590,U1JSC3,PE,AP2
11/4/2022,UP20221110001470,VAN1280,B121,PE,AZ
11/4/2022,UP20221110001471,VAN1280,B121,PE,AZ
11/4/2022,UP20221110001472,VAN1280,B121,PE,AZ
11/3/2022,UP20221110001474,VFQ2380,B113SC3,PE,JP
11/3/2022,UP20221111001514,WH50350,JU109,PE,AZ
11/3/2022,UP20221111001515,WH50350,JU109,PE,AZ
11/3/2022,UP20221111001516,WH50350,JU109,PE,AZ
11/3/2022,UP20221111001517,WH50350,JU109,PE,AZ
11/2/2022,UP20221111001471,VFQ2530,JU109SC3,PE,AP2
11/4/2022,UP20221111001453,AAC7366,U1J,PE,AZ
11/4/2022,UP20221111001459,VAN1280,B121,PE,AZ
11/4/2022,UP20221111001460,VAN1280,B121,PE,AZ
11/4/2022,UP20221111001569,ZU14120,B113,DMC,JZ
11/4/2022,UP20221111001518,WH50350,JU109,PE,AZ
11/3/2022,UP20221111001470,VFQ2380,B113SC3,PE,JP
11/3/2022,UP20221111001472,VFQ2570,JX113SC3,PE,AP2
11/4/2022,UP20221111001519,WH50350,JU109,PE,AZ
11/4/2022,UP20221111001533,WH50410,JX113T,PE,AZ
11/4/2022,UP20221114001510,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001511,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001512,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001513,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001514,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001515,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001516,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001517,WH50350,JU109,PE,AZ
11/4/2022,UP20221114001530,WH50410,JX113T,PE,AZ
11/4/2022,UP20221115001456,AAC7368,U1J,PE,LZ
11/4/2022,UP20221115001511,VFV5530,U1J,PE,LZ
11/4/2022,UP20221115001541,ZF42500,B3,PE,LZ
11/4/2022,UP20221115001542,ZF42500,B3,PE,LZ
11/4/2022,UP20221115001543,ZF42500,B3,PE,LZ
11/4/2022,UP20221115001544,ZF42500,B3,PE,LZ
11/4/2022,UP20221115001545,ZF42500,B3,PE,LZ
11/4/2022,UP20221115001546,ZF42500,B3,PE,LZ
11/4/2022,UP20221115001562,ZH66250,B3E,PE,EZ
11/4/2022,UP20221115001563,ZH66250,B3E,PE,EZ
11/4/2022,UP20221115001564,ZH66250,B3E,PE,EZ
11/4/2022,UP20221115001567,ZJ73750,B3,PM,LZ
11/4/2022,UP20221115001568,ZN12160,B3E,PEC,EZ
11/4/2022,UP20221115001569,ZQ21310,B3,PEC,LZ
11/4/2022,UP20221115001574,ZW44790,B3,PWH,LZ
11/3/2022,UP20221115001504,VFQ2740,B3ESC3,PE,EP
11/3/2022,UP20221115001506,VFQ2750,B3ESC3,PWH,EP
11/2/2022,UP20221116001494,VFQ2660,B1SC3,PWH,EP
11/2/2022,UP20221116001495,VFQ2680,B1SC3,PEC,EP
11/2/2022,UP20221116001510,VFQ2780,B1SC3,PE,LP
11/4/2022,UP20221116001455,AAC7368,U1J,PE,LZ
11/4/2022,UP20221116001534,ZF42500,B3,PE,LZ
11/4/2022,UP20221116001535,ZF42500,B3,PE,LZ
11/3/2022,UP20221116001496,VFQ2690,B2ESC3,PE,EP
11/3/2022,UP20221116001497,VFQ2690,B2ESC3,PE,EP
11/3/2022,UP20221116001500,VFQ2700,B2ESC3,PWH,EP
11/3/2022,UP20221116001501,VFQ2720,B2ESC3,PW,EP
11/3/2022,UP20221116001502,VFQ2740,B3ESC3,PE,EP
11/3/2022,UP20221116001503,VFQ2740,B3ESC3,PE,EP
11/4/2022,UP20221116001536,ZF42500,B3,PE,LZ
11/4/2022,UP20221116001537,ZF42500,B3,PE,LZ
11/4/2022,UP20221116001538,ZF42500,B3,PE,LZ
11/4/2022,UP20221116001539,ZF42500,B3,PE,LZ
11/4/2022,UP20221116001540,ZF42500,B3,PE,LZ
11/4/2022,UP20221116001541,ZF42500,B3,PE,LZ
11/4/2022,UP20221116001555,ZF71250,B2,PE,LZ
11/4/2022,UP20221116001562,ZH66250,B3E,PE,EZ
11/4/2022,UP20221116001563,ZH66250,B3E,PE,EZ
11/4/2022,UP20221116001564,ZH66250,B3E,PE,EZ
11/4/2022,UP20221116001568,ZJ73730,B2,PW,LZ
11/4/2022,UP20221116001572,ZW44790,B3,PWH,LZ
11/4/2022,UP20221116001573,ZW44790,B3,PWH,LZ
11/4/2022,UP20221116001556,ZF71250,B2,PE,LZ
11/4/2022,UP20221116001557,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001504,VFQ2740,B3ESC3,PE,EP
11/3/2022,UP20221116001505,VFQ2740,B3ESC3,PE,EP
11/3/2022,UP20221116001506,VFQ2740,B3ESC3,PE,EP
11/3/2022,UP20221116001508,VFQ2750,B3ESC3,PWH,EP
11/4/2022,UP20221116001558,ZF71250,B2,PE,LZ
11/4/2022,UP20221116001559,ZF71250,B2,PE,LZ
11/4/2022,UP20221116001560,ZF71250,B2,PE,LZ
11/4/2022,UP20221116001561,ZF71250,B2,PE,LZ
11/3/2022,UP20221116001511,VFQ2860,B3SC3,PE,LP
11/3/2022,UP20221116001498,VFQ2690,B2ESC3,PE,EP
11/3/2022,UP20221116001499,VFQ2690,B2ESC3,PE,EP
11/3/2022,UP20221117001530,WH50360,JU109,PE,LZ
11/3/2022,UP20221117001531,WH50360,JU109,PE,LZ
11/3/2022,UP20221117001532,WH50360,JU109,PE,LZ
11/3/2022,UP20221117001533,WH50360,JU109,PE,LZ
11/2/2022,UP20221117001475,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221117001476,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221117001477,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221117001478,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221117001479,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221117001480,VFQ2640,B1SC3,PE,EP
11/2/2022,UP20221117001484,VFQ2660,B1SC3,PWH,EP
11/3/2022,UP20221117001481,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221117001482,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221117001483,VFQ2640,B1SC3,PE,EP
11/3/2022,UP20221117001485,VFQ2660,B1SC3,PWH,EP
11/3/2022,UP20221117001486,VFQ2660,B1SC3,PWH,EP
11/3/2022,UP20221117001487,VFQ2680,B1SC3,PEC,EP
11/4/2022,UP20221117001534,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001526,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001527,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001528,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001529,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001530,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001531,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001532,WH50360,JU109,PE,LZ
11/4/2022,UP20221118001533,WH50360,JU109,PE,LZ
11/8/2022,UP20221017000256,VCM7890,P22D,SE,LZ
